date,gold,silver
1991-01-30,369.75,3.809
1991-01-31,369.6,3.826
1991-02-01,367.95,3.8785
1991-02-04,367.0,3.8625
1991-02-05,367.15,3.822
1991-02-06,360.9,3.81
1991-02-07,363.5,3.8
1991-02-08,368.3,3.8325
1991-02-11,368.0,3.8155
1991-02-12,362.05,3.66
1991-02-13,367.05,3.72
1991-02-14,366.85,3.769
1991-02-15,366.25,3.8185
1991-02-18,364.6,3.776
1991-02-19,361.6,3.74
1991-02-20,363.75,3.699
1991-02-21,361.5,3.663
1991-02-22,358.9,3.62
1991-02-25,357.5,3.5475
1991-02-26,359.1,3.6265
1991-02-27,360.0,3.614
1991-02-28,363.0,3.6785
1991-03-01,367.45,3.755
1991-03-04,365.5,3.755
1991-03-05,364.3,3.82
1991-03-06,363.6,3.831
1991-03-07,366.25,3.9075
1991-03-08,367.5,4.001
1991-03-11,369.25,4.17
1991-03-12,363.95,3.979
1991-03-13,365.2,4.059
1991-03-14,365.7,4.03
1991-03-15,363.6,4.0325
1991-03-18,363.4,4.0525
1991-03-19,362.0,3.944
1991-03-20,364.2,4.0375
1991-03-21,362.1,3.9755
1991-03-22,362.95,4.008
1991-03-25,361.75,3.9525
1991-03-26,358.0,3.9175
1991-03-27,357.1,3.899
1991-03-28,354.0,3.836
1991-04-02,357.9,3.935
1991-04-03,357.85,4.065
1991-04-04,358.1,4.0575
1991-04-05,358.3,4.0375
1991-04-08,358.8,3.96
1991-04-09,361.2,4.0
1991-04-10,363.65,4.0235
1991-04-11,360.75,3.9865
1991-04-12,361.45,4.0175
1991-04-15,360.6,3.9775
1991-04-16,360.3,4.024
1991-04-17,361.0,4.07
1991-04-18,361.2,4.121
1991-04-19,357.1,3.9525
1991-04-22,356.25,3.92
1991-04-23,356.9,3.945
1991-04-24,355.9,3.9375
1991-04-25,353.0,3.874
1991-04-26,354.15,3.9
1991-04-29,351.3,3.8875
1991-04-30,353.45,3.9335
1991-05-01,356.25,3.9725
1991-05-02,355.35,3.9335
1991-05-03,356.45,4.0175
1991-05-07,356.25,4.025
1991-05-08,356.4,4.025
1991-05-09,356.85,4.0625
1991-05-10,356.3,4.0325
1991-05-13,356.75,4.036
1991-05-14,358.0,4.0025
1991-05-15,360.25,4.117
1991-05-16,358.35,4.1
1991-05-17,354.95,4.0165
1991-05-20,353.9,4.005
1991-05-21,356.75,4.04
1991-05-22,356.75,4.09
1991-05-23,355.0,4.0375
1991-05-24,355.5,4.05
1991-05-28,356.3,4.059
1991-05-29,360.75,4.142
1991-05-30,360.8,4.1175
1991-05-31,361.55,4.1325
1991-06-03,361.5,4.156
1991-06-04,362.0,4.1525
1991-06-05,361.6,4.166
1991-06-06,363.4,4.2415
1991-06-10,367.6,4.571
1991-06-11,372.75,4.481
1991-06-12,370.7,4.514
1991-06-13,368.4,4.465
1991-06-14,369.0,4.51
1991-06-17,367.3,4.3885
1991-06-18,368.0,4.4775
1991-06-19,367.3,4.4315
1991-06-20,367.8,4.4425
1991-06-21,367.4,4.4425
1991-06-24,365.2,4.341
1991-06-25,363.25,4.36
1991-06-26,366.0,4.4175
1991-06-27,365.3,4.355
1991-06-28,366.9,4.4535
1991-07-01,368.65,4.4525
1991-07-02,366.65,4.424
1991-07-03,367.75,4.4275
1991-07-04,369.4,4.495
1991-07-05,370.25,4.5335
1991-07-08,371.35,4.505
1991-07-09,369.0,4.4615
1991-07-10,370.2,4.4765
1991-07-11,368.85,4.42
1991-07-12,367.9,4.38
1991-07-15,369.1,4.39
1991-07-16,368.5,4.3725
1991-07-17,369.2,4.4025
1991-07-18,370.35,4.4475
1991-07-19,370.3,4.395
1991-07-22,370.1,4.4015
1991-07-23,368.05,4.325
1991-07-24,367.0,4.231
1991-07-25,365.1,4.1275
1991-07-26,364.7,4.1005
1991-07-29,366.0,4.109
1991-07-30,362.3,4.0475
1991-07-31,363.6,4.0675
1991-08-01,364.3,4.054
1991-08-02,360.35,3.9715
1991-08-05,355.6,3.935
1991-08-06,357.2,3.9585
1991-08-07,355.85,3.965
1991-08-08,357.0,3.9725
1991-08-09,357.85,3.9665
1991-08-12,357.75,3.9915
1991-08-13,357.25,3.9535
1991-08-14,356.5,3.946
1991-08-15,358.0,3.97
1991-08-16,357.25,3.9615
1991-08-19,360.75,4.0475
